week,ending on,FR,PT
5,03-02-19,110,180
6,10-02-19,110,180
7,17-02-19,108,180
8,24-02-19,108,180
9,03-03-19,109,180
10,10-03-19,111,180
11,17-03-19,115,180
12,24-03-19,117,180
13,31-03-19,117,180
14,07-04-19,117,180
15,14-04-19,117,180
16,21-04-19,117,178
17,28-04-19,115,178
18,05-05-19,113,178
19,12-05-19,112,178
20,19-05-19,112,178
21,26-05-19,112,178
22,02-06-19,112,175
23,09-06-19,112,115
24,16-06-19,112,115
25,23-06-19,112,80
26,30-06-19,110,80
27,07-07-19,110,71
28,14-07-19,112,71
29,21-07-19,112,71
30,28-07-19,112,71
31,04-08-19,108,71
32,11-08-19,113,71
33,18-08-19,112,71
34,25-08-19,110,75
35,01-09-19,111,75
36,08-09-19,112,75
37,15-09-19,112,75
38,22-09-19,112,75
39,29-09-19,111,90
40,06-10-19,112,105
41,13-10-19,113,140
42,20-10-19,113,140
43,27-10-19,113,144
44,03-11-19,112,159
45,10-11-19,112,159
46,17-11-19,112,159
47,24-11-19,114,159
48,01-12-19,112,159
49,08-12-19,113,159
50,15-12-19,113,159
51,22-12-19,113,159
52,29-12-19,112,158
1,05-01-20,110,163
2,12-01-20,110,163
3,19-01-20,113,173
4,26-01-20,117,184
5,02-02-20,117,181
6,09-02-20,117,181
7,16-02-20,116,184
8,23-02-20,118,184
9,01-03-20,117,184
10,08-03-20,117,184
11,15-03-20,116,184
12,22-03-20,121,184
13,29-03-20,123,184
14,05-04-20,117,178
15,12-04-20,117,178
16,19-04-20,117,182
17,26-04-20,117,182
18,03-05-20,116,182
19,10-05-20,113,182
20,17-05-20,113,182
21,24-05-20,113,182
22,31-05-20,113,182
23,07-06-20,113,182
24,14-06-20,113,154
25,21-06-20,113,124
26,28-06-20,113,101
27,05-07-20,108,90
28,12-07-20,107,90
29,19-07-20,107,90
30,26-07-20,107,90
31,02-08-20,110,90
32,09-08-20,105,90
33,16-08-20,97,90
34,23-08-20,95,90
35,30-08-20,106,90
36,06-09-20,112,90
37,13-09-20,112,90
38,20-09-20,112,90
39,27-09-20,110,90
40,04-10-20,110,115
41,11-10-20,110,115
42,18-10-20,112,155
43,25-10-20,118,155
44,01-11-20,112,155
45,08-11-20,112,155
46,15-11-20,110,175
47,22-11-20,112,178
48,29-11-20,111,178
49,06-12-20,110,180
50,13-12-20,108,180
51,20-12-20,110,180
52,27-12-20,110,180
53,03-01-21,110,180
1,10-01-21,110,180
2,17-01-21,112,180
3,24-01-21,112,185
4,31-01-21,112,185
5,07-02-21,114,185
6,14-02-21,115,185
7,21-02-21,115,183
8,28-02-21,115,183
9,07-03-21,115,183
10,14-03-21,115,183
11,21-03-21,116,183
12,28-03-21,117,183
13,04-04-21,117,183
14,11-04-21,117,183
15,18-04-21,118,183
16,25-04-21,118,183
17,02-05-21,118,183
18,09-05-21,118,183
19,16-05-21,118,184
20,23-05-21,118,183
21,30-05-21,118,180
22,06-06-21,117,180
23,13-06-21,116,130
24,20-06-21,115,122
25,27-06-21,117,120
26,04-07-21,117,120
27,11-07-21,116,120
28,18-07-21,112,120
29,25-07-21,112,120
30,01-08-21,110,120
31,08-08-21,110,
32,15-08-21,109,120
33,22-08-21,108,125
34,29-08-21,108,120
35,05-09-21,108,120
36,12-09-21,108,120
37,19-09-21,110,120
38,26-09-21,110,120
39,03-10-21,110,120
40,10-10-21,110,120
41,17-10-21,110,120
42,24-10-21,112,130
43,31-10-21,113,158
44,07-11-21,113,158
45,14-11-21,113,158
46,21-11-21,112,180
47,28-11-21,112,180
48,05-12-21,112,183
49,12-12-21,113,183
50,19-12-21,113,180
51,26-12-21,112,180
52,02-01-22,112,180
1,09-01-22,111,192
2,16-01-22,112,192
3,23-01-22,115,195
4,30-01-22,117,195
5,06-02-22,120,198
6,13-02-22,121,198
7,20-02-22,122,198
8,27-02-22,121,198
9,06-03-22,122,198
10,13-03-22,120,198
11,20-03-22,121,198
12,27-03-22,123,198
13,03-04-22,125,198
14,10-04-22,123,198
15,17-04-22,123,198
16,24-04-22,125,198
17,01-05-22,125,198
18,08-05-22,125,198
19,15-05-22,124,198
20,22-05-22,126,198
21,29-05-22,123,198
22,05-06-22,119,198
23,12-06-22,117,175
24,19-06-22,117,175
25,26-06-22,115,175
26,03-07-22,117,175
27,10-07-22,116,175
28,17-07-22,116,175
29,24-07-22,115,175
30,31-07-22,115,175
31,07-08-22,115,175
32,14-08-22,113,175
33,21-08-22,113,175
34,28-08-22,114,175
35,04-09-22,117,175
36,11-09-22,120,175
37,18-09-22,121,175
38,25-09-22,123,175
39,02-10-22,123,175
40,09-10-22,123,175
41,16-10-22,125,175
42,23-10-22,125,175
43,30-10-22,125,175
44,06-11-22,125,175
45,13-11-22,127,175
46,20-11-22,127,180
47,27-11-22,123,183
48,04-12-22,126,183
49,11-12-22,126,183
50,18-12-22,123,183
51,25-12-22,123,183
52,01-01-23,120,183
1,08-01-23,124,180
2,15-01-23,129,184
3,22-01-23,135,185
4,29-01-23,138,190
5,05-02-23,139,190
6,12-02-23,138,190
7,19-02-23,138,195
8,26-02-23,138,198
9,05-03-23,138,198
10,12-03-23,139,200
11,19-03-23,139,200
12,26-03-23,136,200
13,02-04-23,135,200
14,09-04-23,135,200
15,16-04-23,135,200
16,23-04-23,135,200
17,30-04-23,135,200
