week,ending on,BE,BG,CZ,DK,DE,EE,EL,ES,FR,IE,IT,CY,LV,LT,LU,HR,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
43,27-10-19,0,0,0,0,0,0,0,205,113,0,0,0,0,0,0,0,0,0,61,0,0,144,0,0,0,0,0
44,03-11-19,0,0,0,0,0,0,0,204,112,0,0,0,0,0,0,0,0,0,70,0,0,159,0,0,0,0,0
45,10-11-19,0,0,0,0,0,0,0,210,112,0,0,0,0,0,0,0,0,0,71,0,0,159,0,0,0,0,0
46,17-11-19,0,0,0,0,0,0,0,210,112,0,0,0,0,0,0,0,0,0,78,0,0,159,0,0,0,0,0
47,24-11-19,0,0,0,0,0,0,0,202,114,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0
48,01-12-19,0,0,0,0,0,0,0,178,112,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0
49,08-12-19,0,0,0,0,0,0,0,166,113,0,0,0,0,0,0,0,0,0,81,0,0,159,0,0,0,0,0
50,15-12-19,0,0,0,0,0,0,0,166,113,0,0,80,0,0,0,0,0,0,81,0,0,159,0,0,0,0,0
51,22-12-19,0,0,0,0,0,0,0,184,113,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0
52,29-12-19,0,0,0,0,0,0,0,184,112,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0
1,05-01-20,0,0,0,0,0,0,0,184,110,0,0,0,0,0,0,0,0,0,81,0,0,163,0,0,0,0,0
2,12-01-20,0,0,0,0,0,0,0,120,110,0,0,0,0,0,0,0,0,0,81,0,0,163,0,0,0,0,0
3,19-01-20,0,0,0,0,0,0,0,113,113,0,0,0,0,0,0,0,0,0,83,0,0,173,0,0,0,0,0
4,26-01-20,0,0,0,0,0,0,0,115,117,0,0,0,0,0,0,0,0,0,88,0,0,184,0,0,0,0,0
5,02-02-20,,,,,,,,115,117,,,,,,,,,,86,,,181,,,,,
6,09-02-20,,,,,,,,110,117,,,60,,,,,,,84,,,181,,,,,
7,16-02-20,,,,,,,,95,116,,,60,,,,,,,84,,,184,,,,,
8,23-02-20,,,,,,,,92,118,,,60,,,,,,,,,,184,,,,,
9,01-03-20,,,,,,,,95,117,,,60,,,,,,,78,,,184,,,,,
10,08-03-20,,,,,,,,108,117,,,60,,,,,,,75,,,184,,,,,
11,15-03-20,,,,,,,,105,116,,,60,,,,,,,74,,,184,,,,,
12,22-03-20,,,,,,,,103,121,,,60,,,,,,,80,,,184,,,,,
13,29-03-20,,,,,,,,103,123,,,60,,,,,,,70,,,184,,,,,
14,05-04-20,,,,,,,,94,117,,,60,,,,,,,73,,,178,,,,,
15,12-04-20,,,,,,,,108,117,,,60,,,,,,,67,,,178,,,,,
16,19-04-20,,,,,,,,109,117,,,60,,,,,,,67,,,182,,,,,
17,26-04-20,,,,,,,,108,117,,,60,,,,,,,64,,,182,,,,,
18,03-05-20,,,,,,,,113,116,,,60,,,,,,,64,,,182,,,,,
19,10-05-20,,,,,,,,113,113,,,60,,,,,,,68,,,182,,,,,
20,17-05-20,,,,,,,,110,113,,,60,,,,,,,69,,,182,,,,,
21,24-05-20,,,,,,,,118,113,,,60,,,,,,,69,,,182,,,,,
22,31-05-20,,,,,,,,118,113,,,60,,,,,,,68,,,182,,,,,
23,07-06-20,,,,,,,,110,113,,,60,,,,,,,66,,,182,,,,,
24,14-06-20,,,,,,,,110,113,,,,,,,,,,60,,,154,,,,,
25,21-06-20,,,,,,,,108,113,,,,,,,,,,60,,,124,,,,,
26,28-06-20,,,,,,,,100,113,,,,,,,,,,55,,,101,,,,,
27,05-07-20,,,,,,,,100,108,,,,50,,,,,,58,,,90,,,,,
28,12-07-20,,,,,,,,105,107,,,,,,,,,,51,,,90,,,,,
29,19-07-20,,,,,,,,120,107,,,,,,,,,,59,,,90,,,,,
30,26-07-20,,,,,,,,133,107,,,,,,,,,,59,,,90,,,,,
31,02-08-20,,,,,,,,134,110,,,,,,,,,,59,,,90,,,,,
32,09-08-20,,,,,,,,135,105,,,,,,,,,,59,,,90,,,,,
33,16-08-20,,,,,,,,135,97,,,,,,,,,,59,,,90,,,,,
34,23-08-20,,,,,,,,131,95,,,,,,,,,,57,,,90,,,,,
35,30-08-20,,,,,,,,127,106,,,,,,,,,,60,,,90,,,,,
36,06-09-20,,,,,,,,123,112,,,,,,,,,,61,,,90,,,,,
37,13-09-20,,,,,,,,143,112,,,70,,,,,,,60,,,90,,,,,
38,20-09-20,,,,,,,,145,112,,,70,,,,,,,58,,,90,,,,,
39,27-09-20,,,,,,,,155,110,,,70,,,,,,,58,,,90,,,,,
40,04-10-20,,,,,,,,163,110,,,70,,,,,,,55,,,115,,,,,
41,11-10-20,,,,,,,,178,110,,,70,,,,,,,52,,,115,,,,,
42,18-10-20,,,,,,,,178,112,,,,,,,,,,56,,,155,,,,,
43,25-10-20,,,,,,,,210,118,,,,,,,,,,50,,,155,,,,,
44,01-11-20,,,,,,,,210,112,,,,,,,,,,47,,,155,,,,,
45,08-11-20,,,,,,,,185,112,,,,,,,,,,56,,,155,,,,,
46,15-11-20,,,,,,,,160,110,,,65,,,,,,,58,,,175,,,,,
47,22-11-20,,,,,,,,143,112,,,67,,,,,,,61,,,178,,,,,
48,29-11-20,,,,,,,,145,111,,,65,,,,,,,67,,,178,,,,,
49,06-12-20,,,,,,,,145,110,,,65,,,,,,,67,,,180,,,,,
50,13-12-20,,,,,,,,120,108,,,65,,,,,,,67,,,180,,,,,
51,20-12-20,,,,,,,,118,110,,,,,,,,,,67,,,180,,,,,
52,27-12-20,,,,,,,,80,110,,,,,,,,,,64,,,180,,,,,
53,03-01-21,,,,,,,,80,110,,,,,,,,,,64,,,180,,,,,
1,10-01-21,,,,,100,,,80,110,,,,,,,,,,66,,,180,,,,,
2,17-01-21,,,,,,,,120,112,,,,,,,,,,69,,,180,,,,,
3,24-01-21,,,,,,,,110,112,,,,,,,,,,68,,,185,,,,,
4,31-01-21,,,,,,,,108,112,,,,,,,,,,74,,,185,,,,,
5,07-02-21,,,,,,,,110,114,,,,,,,,,,80,,,185,,,,,
6,14-02-21,,,,,,,,105,115,,,,,,,,,,83,,,185,,,,,
7,21-02-21,,,,,,,,110,115,,,,,,,,,,83,,,183,,,,,
8,28-02-21,,,,,,,,113,115,,,,,,,,,,82,,,183,,,,,
9,07-03-21,,,,,,,,103,115,,,,,,,,,,81,,,183,,,120,,
10,14-03-21,,,,,,,,115,115,,,,,,,,,,74,,,183,,,124,,
11,21-03-21,,,,,,,,115,116,,,,,,,,,,74,,,183,,,,,
12,28-03-21,,,,,,,,118,117,,,,,,,,,,74,,,183,,,86,,
13,04-04-21,,,,,,,,120,117,,,,,,,,,,74,,,183,,,,,
14,11-04-21,,,,,,,,120,117,,,,,,,,,,74,,,183,,,,,
15,18-04-21,,,,,,,,125,118,,,,,,,,,,72,,,183,,,,,
16,25-04-21,,,,,,,,128,118,,,,,,,,,,72,,,183,,,,,
17,02-05-21,,,,,,,,115,118,,,,,,,,,,72,,,183,,,,,
18,09-05-21,,,,,,,,115,118,,,,,,,,,,71,,,183,,,,,
19,16-05-21,,,,,,,,115,118,,,,,,,,,,71,,,184,,,,,
20,23-05-21,,,,,,,,120,118,,,,,,,,,,70,,,183,,,,,
21,30-05-21,,,,,,,,118,118,,,,,,,,,,66,,,180,,,,,
22,06-06-21,,,,,,,,118,117,,,,,,,,,,66,,,180,,,,,
23,13-06-21,,,,,,,,120,116,,,,,,,,,,66,,,130,,,,,
24,20-06-21,,,,,,,,128,115,,,,67,,,,,,65,,,122,,,,,
25,27-06-21,,,,,,,,128,117,,,,,,,,,,65,,,120,,,,,
26,04-07-21,,,,,,,,128,117,,,,,,,,,,61,,,120,,,,,
27,11-07-21,,,,,,,,135,116,,,,,,,,,,61,,,120,,,,,
28,18-07-21,,,,,,,,140,112,,,,,,,,,,56,,,120,,,,,
29,25-07-21,,,,,,,,140,112,,,,,,,,,,56,,,120,,,,,
30,01-08-21,,,,,,,,140,110,,,,34,,,,,,54,,,120,,,,,
31,08-08-21,,,,,,,,,110,,,,,,,,,,53,,,,,,,,
32,15-08-21,,,,,,,,168,109,,,,43,,,,,,56,,,120,,,,,
33,22-08-21,,,,,,,,150,108,,,,29,,,,,,57,,,125,,,,,
34,29-08-21,,,,,,,,130,108,,,,30,,,,,,66,,,120,,,,,
35,05-09-21,,,,,,,,120,108,,,,46,,,,,,65,,,120,,,,,
36,12-09-21,,,,,,,,120,108,,,,55,,,,,,68,,,120,,,,,
37,19-09-21,,,,,,,,118,110,,,,67,,,,,,72,,,120,,,,,
38,26-09-21,,,,,,,,110,110,,,,67,,,,,,72,,,120,,,,,
39,03-10-21,,,,,,,,110,110,,,,67,,,,,,65,,,120,,,,,
40,10-10-21,,,,,,,,120,110,,,,,,,,,,65,,,120,,,,,
41,17-10-21,,,,,,,,155,110,,,,,,,,,,65,,,120,,,,,
42,24-10-21,,,,,,,,160,112,,,,,,,,,,63,,,130,,,,,
43,31-10-21,,,,,,,,193,113,,,,,,,,,,63,,,158,,,,,
44,07-11-21,,,,,,,,200,113,,,,,,,,,,61,,,158,,,,,
45,14-11-21,,,,,,,,190,113,,,,,,,,,,62,,,158,,,,,
46,21-11-21,,,,,,,,153,112,,,,,,,,,,60,,,180,,,,,
47,28-11-21,,,,,,,,150,112,,,,,,,,,,60,,,180,,,,,
48,05-12-21,,,,,,,,145,112,,,,,,,,,,62,,,183,,,,,
49,12-12-21,,,,,,,,140,113,,,,,,,,,,68,,,183,,,,,
50,19-12-21,,,,,,,,140,113,,,,,,,,,,68,,,180,,,,,
51,26-12-21,,,,,,,,143,112,,,,,,,,,,64,,,180,,,,,
52,02-01-22,,,,,,,,140,112,,,,53,,,,,,65,,,180,,,,,
1,09-01-22,,,,,,,,130,111,,,,47,,,,,,68,,,192,,,,,
2,16-01-22,,,,,,,,175,112,,,,57,,,,,,79,,,192,,,,,
3,23-01-22,,,,,,,,200,115,,,,,,,,,,72,,,195,,,,,
4,30-01-22,,,,,,,,208,117,,,,,,,,,,79,,,195,,,,,
5,06-02-22,,,,,,,,160,120,,,,,,,,,,88,,,198,,,,,
6,13-02-22,,,,,,,,160,121,,,,,,,,,,88,,,198,,,,,
7,20-02-22,,,,,,,,183,122,,,,,,,,,,96,,,198,,,,,
8,27-02-22,,,,,,,,180,121,,,,,,,,,,96,,,198,,,,,
9,06-03-22,,,,,,,,190,122,,,,,,,,,,96,,,198,,,,,
10,13-03-22,,,,,,,,195,120,,,,,,,,,,96,,,198,,,,,
11,20-03-22,,,,,,,,180,121,,,,,,,,,,96,,,198,,,,,
12,27-03-22,,,,,,,,190,123,,,,,,,,,,87,,,198,,,,,
13,03-04-22,,,,,,,,180,125,,,,,,,,,,89,,,198,,,,,
14,10-04-22,,,,,,,,180,123,,,,,,,,,,82,,,198,,,,,
15,17-04-22,,,,,,,,183,123,,,,,,,,,,88,,,198,,,,,
16,24-04-22,,,,,,,,195,125,,,,,,,,,,88,,,198,,,,,
17,01-05-22,,,,,,,,205,125,,,,,,,,,,85,,,198,,,,,
18,08-05-22,,,,,,,,218,125,,,,,,,,,,85,,,198,,,,,
19,15-05-22,,,,,,,,228,124,,,,,,,,,,83,,,198,,,,,
20,22-05-22,,,,,,,,245,126,,,,,,,,,,82,,,198,,,,,
21,29-05-22,,,,,,,,238,123,,,,,,,,,,82,,,198,,,,,
22,05-06-22,,,,,,,,275,119,,,,,,,,,,75,,,198,,,,,
23,12-06-22,,,,,,,,300,117,,,,,,,,,,71,,,175,,,,,
24,19-06-22,,,,,,,,283,117,,,,,,,,,,75,,,175,,,,,
25,26-06-22,,,,,,,,278,115,,,,,,,,,,71,,,175,,,,,
26,03-07-22,,,,,,,,283,117,,,,,,,,,,70,,,175,,,,,
27,10-07-22,,,,,,,,270,116,,,,46,,,,,,69,,,175,,,,,
28,17-07-22,,,,,,,,288,116,,,,64,,,,,,69,,,175,,,,,
29,24-07-22,,,,,,,,285,115,,,,,,,,,,69,,,175,,,,,
30,31-07-22,,,,,,,,285,115,,,,,,,,,,69,,,175,,,,,
31,07-08-22,,,,,,,,280,115,,,,,,,,,,88,,,175,,,,,
32,14-08-22,,,,,,,,283,113,,,,79,,,,,,88,,,175,,,,,
33,21-08-22,,,,,,,,265,113,,,,83.5,,,,,,96,,,175,,,,,
34,28-08-22,,,,,,,,265,114,,,,83.5,,,,,,98,,,175,,,,,
35,04-09-22,,,,,,,,190,117,,,,,,,,,,99,,,175,,,,,
36,11-09-22,,,,,,,,195,120,,,,,,,,,,104,,,175,,,,,
37,18-09-22,,,,,,,,198,121,,,,,,,,,,111,,,175,,,,,
38,25-09-22,,,,,,,,178,123,,,,,,,,,,100,,,175,,,,,
39,02-10-22,,,,,,,,185,123,,,,,,,,,,100,,,175,,,,,
40,09-10-22,,,,,,,,181,123,,,,,,,,,,100,,,175,,,,,
41,16-10-22,,,,,,,,178,125,,,,,,,,,,100,,,175,,,,,
42,23-10-22,,,,,,,,185,125,,,,,,,,,,100,,,175,,,,,
43,30-10-22,,,,,,,,175,125,,,,,,,,,,89,,,175,,,,,
44,06-11-22,,,,,,,,178,125,,,,81,,,,,,82,,,175,,,,,
45,13-11-22,,,,,,,,173,127,,,,81,,,,,,85,,,175,,,,,
46,20-11-22,,,,,,,,180,127,,,,,,,,,,85,,,180,,,,,
47,27-11-22,,,,,,,,163,123,,,,,,,,,,99,,,183,,,,,
48,04-12-22,,,,,,,,140,126,,,,,,,,,,108,,,183,,,,,
49,11-12-22,,,,,,,,135,126,,,,,,,,,,110,,,183,,,,,
50,18-12-22,,,,,,,,118,123,,,,,,,,,,104,,,183,,,,,
51,25-12-22,,,,,,,,103,123,,,,106,,,,,,104,,,183,,,,,
52,01-01-23,,,,,,,,93,120,,,,101,,,,,,94,,,183,,,,,
1,08-01-23,,,,,,,,95,124,,,,,,,,,,99,,,180,,,,,
2,15-01-23,,,,,,,,100,129,,,,,,,,,,107,,,184,,,,,
3,22-01-23,,,,,,,,105,135,,,,,,,,,,110,,,185,,,,,
4,29-01-23,,,,,,,,120,138,,,,,,,,,,111,,,190,,,,,
5,05-02-23,,,,,,,,128,139,,,,,,,,,,112,,,190,,,,,
6,12-02-23,,,,,,,,128,138,,,,,,,,,,115,,,190,,,,,
7,19-02-23,,,,,,,,128,138,,,,,,,,,,,,,195,,,,,
8,26-02-23,,,,,,,,125,138,,,,,,,,,,114,,,198,,,,,
9,05-03-23,,,,,,,,120,138,,,,,,,,,,,,,198,,,,,
10,12-03-23,,,,,,,,125,139,,,,,,,,,,,,,200,,,,,
11,19-03-23,,,,,,,,125,139,,,,,,,,,,,,,200,,,,,
12,26-03-23,,,,,,,,120,136,,,,,,,,,,,,,200,,,,,
13,02-04-23,,,,,,,,120,135,,,,,,,,,,,,,200,,,,,
14,09-04-23,,,,,,,,113,135,,,,,,,,,,,,,200,,,,,
15,16-04-23,,,,,,,,115,135,,,,,,,,,,,,,200,,,,,
16,23-04-23,,,,,,,,115,135,,,,,,,,,,,,,200,,,,,
17,30-04-23,,,,,,,,105,135,,,,,,,,,,,,,200,,,,,
18,07-05-23,,,,,,,,105,135,,,,,,,,,,,,,200,,,,,
19,14-05-23,,,,,,,,105,137,,,,,,,,,,,,,200,,,,,
20,21-05-23,,,,,,,,100,138,,,,,,,,,,,,,200,,,,,
21,28-05-23,,,,,,,,105,138,,,,,,,,,,,,,200,,,,,
